HOS3 -4.850	0	0	71	0.52	0.04	290	0.84	8	0	1	3	1	1	11	13	11	5	10	7	0.89	0	0.29	0.76	0.50	0.35	0.18	0.24	0.31	0.74	0.79	0.94	0	27	160	0.751	1.505	-0.735	20.00	60.00	-0.735	4.885	11	0	12.00	42.31	0.00	1	0.751	NA	0.84	0.81	0	0	0.61	0.08	0	0	21	5	80.77	19.23	4.20	28.57	20.00	1.65	2	1	2	1	2	36	1	1	0	0	66	NA	NA	NA	NA	NA	NA	NA	54.5	NA	54.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.22	15.22	0.09	0.83	4.65	9.28	0.24	9.62	13.78	30.11	0.387391304347826	0.438260869565217	0.478260869565217	0.921521739130435	0.350869565217391	0.153913043478261	0.388913043478261	1.5395652173913	0.368695652173913	0.443695652173913	1.91347826086956	2.75608695652174	4.61347826086957	9.03	10.10	22.14	11.77	12.06	13.38	17.68	12.19	17.56	16.02	26.69	31.46	30.98	46	657	14.28	0.590909090909091	0.00	0.00	0.00	0.15	0.00	0.00	99.85	0.00	0.00	0.00	0.00	15.98	0.23	0.14	0.68	0.00	0.00	0	0	0	0	0.00	0	0	0	0	1	-134	0	-30.47053318	4	15	14.81	55.56	100.00	100.00	0.362999922451448	0.521275516151722	0.473765828247797	0.471118091472701	0.453334825216495	0.421333649945519	0.395069759134638	0.313682600933825	0.321393374054057	7	1.158	7	1.297	7	0.915	7	0.774	7	0.757	7	1.945	7	1.266	7	1.253	7	1.631	7	1.394	7	1.306	7	1.329	7	1.143	3	0.873	3	0.887	2	1.081	3	2.612	3	0.972	3	0.381	3	0.736	3	4.207	3	0.702	3	0.923	3	1.318	2	2.301	3	2.686	0	0	0	0	0.00	0.00	0.00	0.17	0.11	0.08	0.11	-0.01	42	300	0.2843	0.0932	0	1	0	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0.022733286	0.284486588	NA	NA	0.583917177	0.542425493	NA	NA	25	0	1	0	0	0	0	0	0	0	0	0	1	0	
SQS1 -4.751	0	0	119	0.80	0.09	263	0.82	9	6	0	15	9	13	21	8	8	4	9	17	0.97	0.92	0	0.23	0.69	0.87	0.90	0.78	0.93	0.91	0.82	0.94	0	19	121.25	-0.093	NA	-0.735	25.00	0.00	-0.735	0.472	2	0	3.00	10.53	0.00	1	-0.735	NA	0.19	0.08	0	0	0.55	0.04	0	0	11	0	57.89	0.00	0	0.00	0	0.37	0	1	1	0	1	0	2	0	2	0	NA	NA	59	NA	NA	NA	NA	NA	57.1	-0.119	NA	NA	54.5	NA	NA	NA	54.5	NA	NA	NA	71.43	0.00	1.61	0.00	0.00	0.00	1.70	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-85	0	-5.92177808	0	4	0.00	21.05	0	0	0.366800563869474	0.336346485187956	0.250551982845578	0.25899313030891	0.263441696534083	0.31800011838337	0.320212202967527	0.358408761593038	0.344541303844979	7	1.209	7	1.276	7	0.879	7	0.845	7	0.991	7	1.756	7	1.001	7	1.238	7	1.719	7	1.508	7	1.012	7	1.782	7	1.021	3	1.640	3	1.398	3	1.156	3	1.509	3	1.647	3	0.878	3	1.544	3	2.771	3	0.526	3	0.811	3	1.095	3	1.150	3	1.143	0	31	0	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1409	0.0891	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	0	0	4	0	0	0	0	0	0	0	0	0	0	
ARF1 -4.710	0	0	108	0.67	0.07	51	0.85	1	0	7	3	12	17	7	16	12	12	8	13	0.95	0	0.17	0.08	0.23	0.81	0.67	0.88	0.71	0.77	0.83	0.78	0	21	120	1.043	1.4895	-1.937	14.29	57.14	-1.937	2.241	2	3	0.75	9.52	14.29	1	-0.262	NA	1.15	0.97	-24.53	32.39	0.66	0.12	-0.59	0.05	18	2	85.71	9.52	9.00	55.56	0.00	2.52	6	3	12	2	7	5	5	8	3	4	84.75	-0.262	120	1.043	146.5	1.043	60.25	NA	57.1	1.061	77.5	2.241	NA	NA	60.25	NA	100.5	-1.937	NA	NA	27.27	3.64	0.83	0.07	0.45	0.14	1.15	0.71	0.65	0.81	0.0361818181818182	0.0312727272727273	0.0430909090909091	0.072	0.0645454545454545	0.0265454545454545	0.0345454545454545	0.136727272727273	0.0318181818181818	0.0358181818181818	0.0330909090909091	0.0538181818181818	0.0490909090909091	0.71	0.65	0.72	0.81	0.69	0.49	0.51	0.69	0.49	0.59	0.65	0.86	0.83	55	46	0.84	0.294117647058824	0.01	6.52	2.17	63.04	0.00	8.70	0.00	4.35	13.04	0.00	2.17	0.00	0	0	0	0	0.00	0	0	0	0	0.00	0	0	0	0	1	-43	0	-11.71174712	6	8	28.57	38.10	86.96	95.65	0.502653606053374	0.483643252808027	0.46269525884267	0.382034197464199	0.424713634576544	0.356012622598562	0.383867375904063	0.432311154123429	0.461451582617872	2	1.161	2	1.015	2	1.920	2	2.537	2	2.653	2	0.509	2	1.144	2	7.795	2	2.582	2	1.314	2	2.179	2	2.231	2	1.572	5	1.012	5	0.963	5	1.203	5	1.786	5	1.873	5	1.085	5	1.359	5	3.967	5	1.311	5	1.206	5	1.019	5	1.258	5	1.181	0	0	0	0	1.89	0.18	-0.19	-0.82	0.28	0.45	0.65	0.01	21	300	NA	NA	0	1	0	0	1	1	0	0.455461	0.535756	0.873313	0.952569	1.063376	1.069463	0.830435	1.096289	2.195577546	0.026321268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	-0.418204776	-1.19880987	NA	NA	0.946084671	1.412906723	NA	NA	2	0	6	8	0	1	0	0	0	0	0	2	0	0	
EXO84 -4.620	0	0	67	0.78	0.05	249	0.84	0	6	5	4	7	8	5	0	7	8	2	15	0	0.84	0.28	0.17	0.91	0.65	0.97	0	0.94	0.94	0.80	0.87	0	14	111.55	-0.427	NA	-0.735	50.00	0.00	-0.735	0	2	0	3.00	14.29	0.00	1	NA	NA	0.07	0.05	0	0	0.66	0.03	0	0	11	0	78.57	0.00	0	90.91	0	3.61	3	6	6	5	8	7	5	8	5	3	54.5	NA	54.5	NA	55.8	-0.119	60.25	NA	60.25	NA	61.55	-0.119	57.1	-0.119	57.1	-0.119	66	NA	57.1	-0.119	17.86	1.79	0.74	0.05	0.21	0.04	1.42	0.52	0.45	0.38	0.0233928571428571	0.0221428571428571	0.015	0.0323214285714286	0.0358928571428571	0.0128571428571429	0.0203571428571429	0.0496428571428571	0.0132142857142857	0.0257142857142857	0.0121428571428571	0.0123214285714286	0.01625	0.48	0.47	0.41	0.46	0.53	0.34	0.46	0.41	0.39	0.46	0.41	0.32	0.44	56	32	0.57	0.785714285714286	0.02	0.00	9.38	9.38	6.25	34.38	9.38	6.25	15.62	6.25	3.12	6.25	0.12	0.00	0.69	0.00	0.00	0	0	0	0	0.00	0	0	0	0	1	-78	0	-10.99192788	2	4	14.29	28.57	96.88	93.75	0.34896854617279	0.52206681638897	0.628748873974318	0.545389866885802	0.52848425545093	0.492182060656621	0.475636736028611	0.432773184815281	0.393624758897559	7	1.120	7	1.250	7	0.996	7	1.069	7	1.158	7	1.333	7	3.128	7	1.369	7	1.562	7	1.346	7	0.866	7	0.952	7	0.889	4	1.227	4	1.184	4	0.913	4	1.762	4	1.689	4	0.934	4	1.103	4	3.018	4	0.841	4	1.402	4	0.740	4	0.968	4	0.931	2	18	11	23	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	0.1507	0.1105	1	0	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	-0.096043176	-0.594776546	NA	NA	-0.280070929	-0.087267684	NA	NA	36	0	0	0	0	0	0	2	0	0	0	0	0	0	
TOP1 -4.559	0	0	155	0.64	0.10	248	0.82	11	2	6	5	6	4	26	24	19	13	23	16	0.72	0.92	0.69	0.21	0.19	0.52	0.83	0.54	0.89	0.82	0.62	0.30	0	19	85.5	-0.093	0.839	-0.735	25.00	25.00	-0.735	0.839	2	0	3.00	10.53	0.00	1	NA	NA	0.10	0.07	0	0	0.55	0.01	0	0	16	0	84.21	0.00	0	12.50	0	1.11	1	2	13	0	1	0	1	0	0	3	NA	NA	54.5	NA	94.5	0.839	NA	NA	76.5	-0.067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.57	4.76	0.64	0.15	0.80	0.14	0.64	1.65	1.10	0.66	0.0842857142857143	0.0633333333333333	0.0904761904761905	0.131428571428571	0.114761904761905	0.04	0.03	0.305238095238095	0.0552380952380952	0.0376190476190476	0.0685714285714286	0	0.0757142857142857	1.69	1.55	0.61	1.11	0.93	1.67	0.68	1.40	2.17	1.64	0.74	0.00	1.17	21	67	3.19	0.352941176470588	0.01	0.00	0.00	98.51	0.00	0.00	0.00	0.00	0.00	0.00	1.49	31.34	0.03	0.00	0.54	0.00	0.00	0	0	0	0	0.00	0	0	0	0	1	-82	0	-30.73695334	0	5	0.00	26.32	100.00	100.00	0.405866138625799	0.628169272001566	0.563801373907061	0.535224174951334	0.551004220424534	0.526381473422664	0.524713329950396	0.469105316068177	0.434168979773824	7	0.875	7	0.866	7	1.023	7	1.071	7	0.945	7	2.212	7	1.272	7	1.527	7	2.388	7	1.501	7	1.111	7	0.974	7	1.054	4	1.244	4	1.024	4	3.698	4	2.956	4	3.078	4	0.600	4	1.094	4	5.462	4	0.638	4	0.572	4	2.308	3	1.862	4	1.622	78	0	678	0	NA	NA	NA	NA	NA	NA	NA	NA	21	35	0.2755	0.0944	0	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	-0.672164393	-0.40526278	NA	NA	0.543965154	0.604538821	NA	NA	60	0	0	0	0	0	0	0	0	0	0	0	2	3	
SET2 -4.488	0	1	136	0.72	0.10	246	0.85	8	14	2	3	12	14	16	6	16	15	17	13	0.79	0.92	0.65	0.18	0.83	0.45	0.28	0.88	0.81	0.79	0.89	0.81	0	21	89.75	-0.093	1.128	-0.7455	33.33	33.33	-0.756	1.505	4	2	1.67	19.05	9.52	1	1.505	-0.119	1.15	0.81	-0.63	0.49	0.67	0.06	-0.62	0.03	15	0	71.43	0.00	0	0.00	0	1.25	4	3	8	2	2	1	2	1	2	2	131.25	0.008	76.8	0.316	166	-0.735	54.5	NA	96.5	0.751	54.5	NA	57.1	-0.119	57.1	-0.119	NA	NA	NA	NA	33.33	0.00	1.08	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	32	1.19	0.8	0.03	6.25	0.00	87.50	3.12	0.00	0.00	0.00	0.00	3.12	0.00	0.00	0	0	0	0	0.00	0	0	0	0	6.25	0.38	1.06	-0.00	1.29	3	-93	447	-4.28	2	12	9.52	57.14	100.00	75.00	0.361263830140237	0.479547070355996	0.206832894656429	0.303544330011046	0.285313573475381	0.314579674225602	0.283697741741678	0.290047737456891	0.322049425111637	7	0.993	7	1.061	7	0.661	7	0.820	7	0.814	7	2.491	7	1.161	7	1.410	7	2.834	7	1.824	7	1.007	6	1.003	7	0.964	5	1.115	5	1.020	5	2.095	5	1.988	5	3.077	5	0.551	5	1.219	5	5.127	5	0.764	5	1.146	5	1.176	5	1.454	5	1.091	24	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	22	2	0.2401	0.0734	0	1	0	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	0	1	0	0	0	0	0	0	NA	NA	NA	NA	-0.231120225	0.261505608	NA	NA	1.303247431	1.627770622	NA	NA	24	0	0	0	0	0	0	0	0	0	0	0	0	0	
YKL063C -4.162	0	0	174	0.43	0.07	61	0.85	6	4	7	3	25	20	24	11	23	12	8	31	0.70	0.85	0.88	0.62	0.29	0.26	0.43	0.76	0.60	0.31	0.26	0.29	0	22	166	-0.067	NA	-0.735	33.33	0.00	-0.735	0	5	0	6.00	22.73	0.00	1	NA	NA	0.19	0.11	0	0	0.64	0.10	0	0	20	0	90.91	0.00	0	5.00	0	0.68	1	2	5	1	0	1	0	0	0	5	NA	NA	167.5	-0.065	NA	NA	NA	NA	NA	NA	76.5	-0.067	NA	NA	NA	NA	NA	NA	161.75	-0.065	66.67	13.33	0.95	0.27	1.97	3.04	1.26	5.88	5.12	10.03	0.141333333333333	0.128666666666667	0.324	0.256666666666667	0.242666666666667	0.125333333333333	0.232	0.348666666666667	0.156666666666667	0.279333333333333	0.502666666666667	1.84933333333333	0.69	5.99	5.77	5.04	4.32	4.43	4.37	5.27	5.06	5.58	7.61	8.06	11.46	8.69	15	8	0.53	0.619047619047619	0.08	0.00	0.00	75.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	37.50	0.02	0.00	0.52	0.00	0.00	0	0	0	0	0.00	0	0	0	0	2	4	642	-28.74	7	10	31.82	45.45	100.00	100.00	0.394123554919874	0.514726314617586	0.471874166373904	0.33101067312443	0.309571741470387	0.329058425843324	0.31897161309585	0.333488122190478	0.336456291548105	2	0.844	2	0.977	2	1.329	2	1.390	2	2.223	2	0.876	2	2.109	2	4.954	2	1.162	2	1.765	2	0.906	2	1.531	2	0.768	4	0.591	4	0.559	4	1.605	4	1.485	4	1.371	4	0.718	4	1.100	4	1.721	4	0.704	4	0.914	4	1.560	4	4.036	4	1.986	0	39	0	152	0.00	0.00	0.00	0.07	0.06	-0.04	-0.16	-0.05	34	NA	0.6299	0.1192	0	1	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
SFI1 -4.006	0	0	106	0.78	0.08	335	0.83	8	12	2	0	4	13	8	16	13	8	12	10	0.93	0.45	0.21	0	0.96	0.71	0.86	0.78	0.81	0.92	0.83	0.89	0	18	77.5	-0.067	1.474	-1.025	28.57	42.86	-1.315	2.241	8	0	9.00	44.44	0.00	1	-0.093	NA	0.44	0.28	0	0	0.67	0.08	0	0	13	1	72.22	5.56	13.00	0.00	0.00	0.58	3	0	3	1	0	1	2	1	0	0	54.5	NA	NA	NA	110.25	-0.735	54.5	NA	NA	NA	162.5	1.474	54.5	NA	68	NA	NA	NA	NA	NA	36.36	0.00	1.22	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0.36	0.857142857142857	0.21	75.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0.00	0	0	0	0	0.00	0	0	0	0	1	-5	0	-19.80247878	2	8	11.11	44.44	100.00	25.00	0.32872816305118	0.691961073974074	0.404802755783344	0.269410250353372	0.287556009317424	0.294714496966098	0.308547556767776	0.297553544484752	0.314254236206418	9	0.882	9	0.986	9	0.826	9	0.858	9	0.755	9	1.147	9	0.846	9	0.973	9	1.646	9	1.462	9	0.700	9	1.872	9	0.842	3	1.089	3	1.452	3	0.498	3	0.576	3	0.558	3	0.725	3	0.543	3	0.437	3	1.383	3	0.887	3	0.709	3	3.305	3	0.898	37	56	327	573	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	0.2302	0.1031	0	1	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	-0.346183053	1.050423337	NA	NA	-0.641031082	-0.679218715	NA	NA	38	0	0	0	0	0	0	0	0	0	0	0	0	0	
SOK2 -3.927	0	1	157	0.47	0.07	286	0.85	6	0	1	6	9	16	24	18	16	22	14	25	0.87	0	0.49	0.57	0.89	0.43	0.64	0.28	0.32	0.37	0.48	0.41	1	30	137.25	0.2035	1.128	-1.041	25.00	25.00	-1.347	1.505	6	0	7.00	20.69	0.00	1	1.505	NA	0.22	0.13	0	0	0.65	0.08	0	0	29	5	96.67	16.67	5.80	34.48	0.00	1.02	0	1	5	2	3	8	5	4	2	1	NA	NA	NA	NA	NA	NA	250.5	0.472	127.3	-0.735	71.55	-0.065	57.1	-0.119	114.5	0.496	127.3	-0.735	NA	NA	45.16	0.00	1.18	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	25	0.81	0.727272727272727	0.03	0.00	0.00	24.00	4.00	0.00	60.00	12.00	0.00	0.00	0.00	24.00	0.42	0.00	0.70	0.00	0.00	0	0	0	0	0.00	0	0	0	0	3	-33	392	-8.22	4	14	13.33	46.67	100.00	100.00	0.331872547586444	0.384289665079748	0.35355023097779	0.42064611106524	0.412655400170735	0.370536866710108	0.340934142230268	0.348646095261543	0.340955213300406	8	0.975	8	1.029	8	1.128	8	0.958	8	1.028	8	2.067	8	1.400	8	1.270	8	1.741	8	1.191	8	1.103	8	0.934	8	1.015	5	0.447	5	0.446	5	2.307	5	2.293	5	1.731	5	1.076	5	1.753	5	1.739	5	0.789	5	0.720	5	1.652	5	1.865	5	3.302	72	0	589	0	NA	NA	NA	NA	NA	NA	NA	NA	19	3	0.3682	0.0697	0	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.00744247	3.567994712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	-0.252216235	-0.864533241	NA	NA	-0.386585285	-0.269294843	NA	NA	34	0	4	0	0	0	0	0	0	0	0	0	0	0	
GTB1 -3.907	0	0	88	0.81	0.07	270	0.81	13	7	4	3	4	2	4	7	17	7	7	13	0.93	0.71	0.24	0.14	0.73	0.77	0.95	0.78	0.88	0.96	0.80	0.88	0	21	161.25	0.6115	1.474	-0.735	16.67	50.00	-0.735	1.505	0	0	1.00	0.00	0.00	1	NA	NA	0	0	0	0	0	0	0	0	14	0	66.67	0.00	0	64.29	0	2.12	4	8	3	7	2	6	4	0	9	4	NA	NA	68	1.474	250.5	0.472	96.5	1.1125	54.5	NA	61.25	NA	54.5	NA	NA	NA	57.1	-0.119	162.5	1.474	25.53	0.00	0.97	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	29	0.62	0.909090909090909	0.03	3.45	10.34	6.90	10.34	3.45	3.45	3.45	3.45	44.83	10.34	0.00	0	0	0	0	0.00	0	0	0	0	0.00	0	0	0	0	1	5	0	-14.91793756	3	15	14.29	71.43	100.00	96.55	0.357348641302405	0.341933288236546	0.253571804798322	0.29309812164103	0.226011564295496	0.249429284757931	0.231345255935105	0.274357894426818	0.301325597932609	7	1.196	7	1.025	7	1.132	7	1.224	7	1.627	7	2.051	7	1.761	7	1.510	7	1.534	7	1.236	7	1.119	7	1.012	7	2.032	4	1.322	4	1.411	4	0.630	4	1.357	4	1.335	4	0.478	4	1.056	4	3.803	4	0.551	4	1.321	4	1.028	4	1.309	4	2.017	16	143	12	217	0.00	0.00	0.00	0.00	-0.36	-0.23	-0.32	-0.01	NA	NA	0.0599	0.0558	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0	0	0	0	0	7	0	0	0	0	0	
